traj_id,文件名,bean_code,drop_code,①号位豆子,②号位豆子,③号位豆子,数字1在几号位,数字2在几号位,数字3在几号位,数字4在几号位,数字5在几号位
231,P0231.BIN,3,51,绿豆,白芸豆,黄豆,⑧号位,⑤号位,④号位,⑥号位,⑦号位
232,P0232.BIN,3,52,绿豆,白芸豆,黄豆,⑧号位,⑤号位,⑥号位,④号位,⑦号位
233,P0233.BIN,3,53,绿豆,白芸豆,黄豆,⑧号位,⑤号位,⑦号位,④号位,⑥号位
234,P0234.BIN,3,54,绿豆,白芸豆,黄豆,⑧号位,⑥号位,④号位,⑤号位,⑦号位
235,P0235.BIN,3,55,绿豆,白芸豆,黄豆,⑧号位,⑥号位,⑤号位,④号位,⑦号位
236,P0236.BIN,3,56,绿豆,白芸豆,黄豆,⑧号位,⑥号位,⑦号位,④号位,⑤号位
237,P0237.BIN,3,57,绿豆,白芸豆,黄豆,⑧号位,⑦号位,④号位,⑤号位,⑥号位
238,P0238.BIN,3,58,绿豆,白芸豆,黄豆,⑧号位,⑦号位,⑤号位,④号位,⑥号位
239,P0239.BIN,3,59,绿豆,白芸豆,黄豆,⑧号位,⑦号位,⑥号位,④号位,⑤号位
240,P0240.BIN,4,0,白芸豆,黄豆,绿豆,④号位,⑤号位,⑥号位,⑦号位,⑧号位
241,P0241.BIN,4,1,白芸豆,黄豆,绿豆,④号位,⑤号位,⑦号位,⑥号位,⑧号位
242,P0242.BIN,4,2,白芸豆,黄豆,绿豆,④号位,⑤号位,⑧号位,⑥号位,⑦号位
243,P0243.BIN,4,3,白芸豆,黄豆,绿豆,④号位,⑥号位,⑤号位,⑦号位,⑧号位
244,P0244.BIN,4,4,白芸豆,黄豆,绿豆,④号位,⑥号位,⑦号位,⑤号位,⑧号位
245,P0245.BIN,4,5,白芸豆,黄豆,绿豆,④号位,⑥号位,⑧号位,⑤号位,⑦号位
246,P0246.BIN,4,6,白芸豆,黄豆,绿豆,④号位,⑦号位,⑤号位,⑥号位,⑧号位
247,P0247.BIN,4,7,白芸豆,黄豆,绿豆,④号位,⑦号位,⑥号位,⑤号位,⑧号位
248,P0248.BIN,4,8,白芸豆,黄豆,绿豆,④号位,⑦号位,⑧号位,⑤号位,⑥号位
249,P0249.BIN,4,9,白芸豆,黄豆,绿豆,④号位,⑧号位,⑤号位,⑥号位,⑦号位
250,P0250.BIN,4,10,白芸豆,黄豆,绿豆,④号位,⑧号位,⑥号位,⑤号位,⑦号位
251,P0251.BIN,4,11,白芸豆,黄豆,绿豆,④号位,⑧号位,⑦号位,⑤号位,⑥号位
252,P0252.BIN,4,12,白芸豆,黄豆,绿豆,⑤号位,④号位,⑥号位,⑦号位,⑧号位
253,P0253.BIN,4,13,白芸豆,黄豆,绿豆,⑤号位,④号位,⑦号位,⑥号位,⑧号位
254,P0254.BIN,4,14,白芸豆,黄豆,绿豆,⑤号位,④号位,⑧号位,⑥号位,⑦号位
255,P0255.BIN,4,15,白芸豆,黄豆,绿豆,⑤号位,⑥号位,④号位,⑦号位,⑧号位
256,P0256.BIN,4,16,白芸豆,黄豆,绿豆,⑤号位,⑥号位,⑦号位,④号位,⑧号位
257,P0257.BIN,4,17,白芸豆,黄豆,绿豆,⑤号位,⑥号位,⑧号位,④号位,⑦号位
258,P0258.BIN,4,18,白芸豆,黄豆,绿豆,⑤号位,⑦号位,④号位,⑥号位,⑧号位
259,P0259.BIN,4,19,白芸豆,黄豆,绿豆,⑤号位,⑦号位,⑥号位,④号位,⑧号位
260,P0260.BIN,4,20,白芸豆,黄豆,绿豆,⑤号位,⑦号位,⑧号位,④号位,⑥号位
261,P0261.BIN,4,21,白芸豆,黄豆,绿豆,⑤号位,⑧号位,④号位,⑥号位,⑦号位
262,P0262.BIN,4,22,白芸豆,黄豆,绿豆,⑤号位,⑧号位,⑥号位,④号位,⑦号位
263,P0263.BIN,4,23,白芸豆,黄豆,绿豆,⑤号位,⑧号位,⑦号位,④号位,⑥号位
264,P0264.BIN,4,24,白芸豆,黄豆,绿豆,⑥号位,④号位,⑤号位,⑦号位,⑧号位
265,P0265.BIN,4,25,白芸豆,黄豆,绿豆,⑥号位,④号位,⑦号位,⑤号位,⑧号位
266,P0266.BIN,4,26,白芸豆,黄豆,绿豆,⑥号位,④号位,⑧号位,⑤号位,⑦号位
267,P0267.BIN,4,27,白芸豆,黄豆,绿豆,⑥号位,⑤号位,④号位,⑦号位,⑧号位
268,P0268.BIN,4,28,白芸豆,黄豆,绿豆,⑥号位,⑤号位,⑦号位,④号位,⑧号位
269,P0269.BIN,4,29,白芸豆,黄豆,绿豆,⑥号位,⑤号位,⑧号位,④号位,⑦号位
270,P0270.BIN,4,30,白芸豆,黄豆,绿豆,⑥号位,⑦号位,④号位,⑤号位,⑧号位
271,P0271.BIN,4,31,白芸豆,黄豆,绿豆,⑥号位,⑦号位,⑤号位,④号位,⑧号位
272,P0272.BIN,4,32,白芸豆,黄豆,绿豆,⑥号位,⑦号位,⑧号位,④号位,⑤号位
273,P0273.BIN,4,33,白芸豆,黄豆,绿豆,⑥号位,⑧号位,④号位,⑤号位,⑦号位
274,P0274.BIN,4,34,白芸豆,黄豆,绿豆,⑥号位,⑧号位,⑤号位,④号位,⑦号位
275,P0275.BIN,4,35,白芸豆,黄豆,绿豆,⑥号位,⑧号位,⑦号位,④号位,⑤号位
276,P0276.BIN,4,36,白芸豆,黄豆,绿豆,⑦号位,④号位,⑤号位,⑥号位,⑧号位
277,P0277.BIN,4,37,白芸豆,黄豆,绿豆,⑦号位,④号位,⑥号位,⑤号位,⑧号位
278,P0278.BIN,4,38,白芸豆,黄豆,绿豆,⑦号位,④号位,⑧号位,⑤号位,⑥号位
279,P0279.BIN,4,39,白芸豆,黄豆,绿豆,⑦号位,⑤号位,④号位,⑥号位,⑧号位
280,P0280.BIN,4,40,白芸豆,黄豆,绿豆,⑦号位,⑤号位,⑥号位,④号位,⑧号位
281,P0281.BIN,4,41,白芸豆,黄豆,绿豆,⑦号位,⑤号位,⑧号位,④号位,⑥号位
282,P0282.BIN,4,42,白芸豆,黄豆,绿豆,⑦号位,⑥号位,④号位,⑤号位,⑧号位
283,P0283.BIN,4,43,白芸豆,黄豆,绿豆,⑦号位,⑥号位,⑤号位,④号位,⑧号位
284,P0284.BIN,4,44,白芸豆,黄豆,绿豆,⑦号位,⑥号位,⑧号位,④号位,⑤号位
285,P0285.BIN,4,45,白芸豆,黄豆,绿豆,⑦号位,⑧号位,④号位,⑤号位,⑥号位
286,P0286.BIN,4,46,白芸豆,黄豆,绿豆,⑦号位,⑧号位,⑤号位,④号位,⑥号位
287,P0287.BIN,4,47,白芸豆,黄豆,绿豆,⑦号位,⑧号位,⑥号位,④号位,⑤号位
288,P0288.BIN,4,48,白芸豆,黄豆,绿豆,⑧号位,④号位,⑤号位,⑥号位,⑦号位
289,P0289.BIN,4,49,白芸豆,黄豆,绿豆,⑧号位,④号位,⑥号位,⑤号位,⑦号位
290,P0290.BIN,4,50,白芸豆,黄豆,绿豆,⑧号位,④号位,⑦号位,⑤号位,⑥号位
291,P0291.BIN,4,51,白芸豆,黄豆,绿豆,⑧号位,⑤号位,④号位,⑥号位,⑦号位
292,P0292.BIN,4,52,白芸豆,黄豆,绿豆,⑧号位,⑤号位,⑥号位,④号位,⑦号位
293,P0293.BIN,4,53,白芸豆,黄豆,绿豆,⑧号位,⑤号位,⑦号位,④号位,⑥号位
294,P0294.BIN,4,54,白芸豆,黄豆,绿豆,⑧号位,⑥号位,④号位,⑤号位,⑦号位
295,P0295.BIN,4,55,白芸豆,黄豆,绿豆,⑧号位,⑥号位,⑤号位,④号位,⑦号位
296,P0296.BIN,4,56,白芸豆,黄豆,绿豆,⑧号位,⑥号位,⑦号位,④号位,⑤号位
297,P0297.BIN,4,57,白芸豆,黄豆,绿豆,⑧号位,⑦号位,④号位,⑤号位,⑥号位
298,P0298.BIN,4,58,白芸豆,黄豆,绿豆,⑧号位,⑦号位,⑤号位,④号位,⑥号位
299,P0299.BIN,4,59,白芸豆,黄豆,绿豆,⑧号位,⑦号位,⑥号位,④号位,⑤号位
300,P0300.BIN,5,0,白芸豆,绿豆,黄豆,④号位,⑤号位,⑥号位,⑦号位,⑧号位
301,P0301.BIN,5,1,白芸豆,绿豆,黄豆,④号位,⑤号位,⑦号位,⑥号位,⑧号位
302,P0302.BIN,5,2,白芸豆,绿豆,黄豆,④号位,⑤号位,⑧号位,⑥号位,⑦号位
303,P0303.BIN,5,3,白芸豆,绿豆,黄豆,④号位,⑥号位,⑤号位,⑦号位,⑧号位
304,P0304.BIN,5,4,白芸豆,绿豆,黄豆,④号位,⑥号位,⑦号位,⑤号位,⑧号位
305,P0305.BIN,5,5,白芸豆,绿豆,黄豆,④号位,⑥号位,⑧号位,⑤号位,⑦号位
306,P0306.BIN,5,6,白芸豆,绿豆,黄豆,④号位,⑦号位,⑤号位,⑥号位,⑧号位
307,P0307.BIN,5,7,白芸豆,绿豆,黄豆,④号位,⑦号位,⑥号位,⑤号位,⑧号位
308,P0308.BIN,5,8,白芸豆,绿豆,黄豆,④号位,⑦号位,⑧号位,⑤号位,⑥号位
309,P0309.BIN,5,9,白芸豆,绿豆,黄豆,④号位,⑧号位,⑤号位,⑥号位,⑦号位
310,P0310.BIN,5,10,白芸豆,绿豆,黄豆,④号位,⑧号位,⑥号位,⑤号位,⑦号位
311,P0311.BIN,5,11,白芸豆,绿豆,黄豆,④号位,⑧号位,⑦号位,⑤号位,⑥号位
312,P0312.BIN,5,12,白芸豆,绿豆,黄豆,⑤号位,④号位,⑥号位,⑦号位,⑧号位
313,P0313.BIN,5,13,白芸豆,绿豆,黄豆,⑤号位,④号位,⑦号位,⑥号位,⑧号位
314,P0314.BIN,5,14,白芸豆,绿豆,黄豆,⑤号位,④号位,⑧号位,⑥号位,⑦号位
315,P0315.BIN,5,15,白芸豆,绿豆,黄豆,⑤号位,⑥号位,④号位,⑦号位,⑧号位
316,P0316.BIN,5,16,白芸豆,绿豆,黄豆,⑤号位,⑥号位,⑦号位,④号位,⑧号位
317,P0317.BIN,5,17,白芸豆,绿豆,黄豆,⑤号位,⑥号位,⑧号位,④号位,⑦号位
318,P0318.BIN,5,18,白芸豆,绿豆,黄豆,⑤号位,⑦号位,④号位,⑥号位,⑧号位
319,P0319.BIN,5,19,白芸豆,绿豆,黄豆,⑤号位,⑦号位,⑥号位,④号位,⑧号位
320,P0320.BIN,5,20,白芸豆,绿豆,黄豆,⑤号位,⑦号位,⑧号位,④号位,⑥号位
321,P0321.BIN,5,21,白芸豆,绿豆,黄豆,⑤号位,⑧号位,④号位,⑥号位,⑦号位
322,P0322.BIN,5,22,白芸豆,绿豆,黄豆,⑤号位,⑧号位,⑥号位,④号位,⑦号位
323,P0323.BIN,5,23,白芸豆,绿豆,黄豆,⑤号位,⑧号位,⑦号位,④号位,⑥号位
324,P0324.BIN,5,24,白芸豆,绿豆,黄豆,⑥号位,④号位,⑤号位,⑦号位,⑧号位
325,P0325.BIN,5,25,白芸豆,绿豆,黄豆,⑥号位,④号位,⑦号位,⑤号位,⑧号位
326,P0326.BIN,5,26,白芸豆,绿豆,黄豆,⑥号位,④号位,⑧号位,⑤号位,⑦号位
327,P0327.BIN,5,27,白芸豆,绿豆,黄豆,⑥号位,⑤号位,④号位,⑦号位,⑧号位
328,P0328.BIN,5,28,白芸豆,绿豆,黄豆,⑥号位,⑤号位,⑦号位,④号位,⑧号位
329,P0329.BIN,5,29,白芸豆,绿豆,黄豆,⑥号位,⑤号位,⑧号位,④号位,⑦号位
330,P0330.BIN,5,30,白芸豆,绿豆,黄豆,⑥号位,⑦号位,④号位,⑤号位,⑧号位
331,P0331.BIN,5,31,白芸豆,绿豆,黄豆,⑥号位,⑦号位,⑤号位,④号位,⑧号位
332,P0332.BIN,5,32,白芸豆,绿豆,黄豆,⑥号位,⑦号位,⑧号位,④号位,⑤号位
333,P0333.BIN,5,33,白芸豆,绿豆,黄豆,⑥号位,⑧号位,④号位,⑤号位,⑦号位
334,P0334.BIN,5,34,白芸豆,绿豆,黄豆,⑥号位,⑧号位,⑤号位,④号位,⑦号位
335,P0335.BIN,5,35,白芸豆,绿豆,黄豆,⑥号位,⑧号位,⑦号位,④号位,⑤号位
336,P0336.BIN,5,36,白芸豆,绿豆,黄豆,⑦号位,④号位,⑤号位,⑥号位,⑧号位
337,P0337.BIN,5,37,白芸豆,绿豆,黄豆,⑦号位,④号位,⑥号位,⑤号位,⑧号位
338,P0338.BIN,5,38,白芸豆,绿豆,黄豆,⑦号位,④号位,⑧号位,⑤号位,⑥号位
339,P0339.BIN,5,39,白芸豆,绿豆,黄豆,⑦号位,⑤号位,④号位,⑥号位,⑧号位
340,P0340.BIN,5,40,白芸豆,绿豆,黄豆,⑦号位,⑤号位,⑥号位,④号位,⑧号位
341,P0341.BIN,5,41,白芸豆,绿豆,黄豆,⑦号位,⑤号位,⑧号位,④号位,⑥号位
342,P0342.BIN,5,42,白芸豆,绿豆,黄豆,⑦号位,⑥号位,④号位,⑤号位,⑧号位
343,P0343.BIN,5,43,白芸豆,绿豆,黄豆,⑦号位,⑥号位,⑤号位,④号位,⑧号位
344,P0344.BIN,5,44,白芸豆,绿豆,黄豆,⑦号位,⑥号位,⑧号位,④号位,⑤号位
345,P0345.BIN,5,45,白芸豆,绿豆,黄豆,⑦号位,⑧号位,④号位,⑤号位,⑥号位
346,P0346.BIN,5,46,白芸豆,绿豆,黄豆,⑦号位,⑧号位,⑤号位,④号位,⑥号位
347,P0347.BIN,5,47,白芸豆,绿豆,黄豆,⑦号位,⑧号位,⑥号位,④号位,⑤号位
348,P0348.BIN,5,48,白芸豆,绿豆,黄豆,⑧号位,④号位,⑤号位,⑥号位,⑦号位
349,P0349.BIN,5,49,白芸豆,绿豆,黄豆,⑧号位,④号位,⑥号位,⑤号位,⑦号位
350,P0350.BIN,5,50,白芸豆,绿豆,黄豆,⑧号位,④号位,⑦号位,⑤号位,⑥号位
351,P0351.BIN,5,51,白芸豆,绿豆,黄豆,⑧号位,⑤号位,④号位,⑥号位,⑦号位
352,P0352.BIN,5,52,白芸豆,绿豆,黄豆,⑧号位,⑤号位,⑥号位,④号位,⑦号位
353,P0353.BIN,5,53,白芸豆,绿豆,黄豆,⑧号位,⑤号位,⑦号位,④号位,⑥号位
354,P0354.BIN,5,54,白芸豆,绿豆,黄豆,⑧号位,⑥号位,④号位,⑤号位,⑦号位
355,P0355.BIN,5,55,白芸豆,绿豆,黄豆,⑧号位,⑥号位,⑤号位,④号位,⑦号位
356,P0356.BIN,5,56,白芸豆,绿豆,黄豆,⑧号位,⑥号位,⑦号位,④号位,⑤号位
357,P0357.BIN,5,57,白芸豆,绿豆,黄豆,⑧号位,⑦号位,④号位,⑤号位,⑥号位
358,P0358.BIN,5,58,白芸豆,绿豆,黄豆,⑧号位,⑦号位,⑤号位,④号位,⑥号位
359,P0359.BIN,5,59,白芸豆,绿豆,黄豆,⑧号位,⑦号位,⑥号位,④号位,⑤号位
