traj_id,文件名,bean_code,drop_code,①号位豆子,②号位豆子,③号位豆子,数字1在几号位,数字2在几号位,数字3在几号位,数字4在几号位,数字5在几号位
46,P0046.BIN,0,46,黄豆,绿豆,白芸豆,⑦号位,⑧号位,⑤号位,④号位,⑥号位
47,P0047.BIN,0,47,黄豆,绿豆,白芸豆,⑦号位,⑧号位,⑥号位,④号位,⑤号位
48,P0048.BIN,0,48,黄豆,绿豆,白芸豆,⑧号位,④号位,⑤号位,⑥号位,⑦号位
49,P0049.BIN,0,49,黄豆,绿豆,白芸豆,⑧号位,④号位,⑥号位,⑤号位,⑦号位
50,P0050.BIN,0,50,黄豆,绿豆,白芸豆,⑧号位,④号位,⑦号位,⑤号位,⑥号位
51,P0051.BIN,0,51,黄豆,绿豆,白芸豆,⑧号位,⑤号位,④号位,⑥号位,⑦号位
52,P0052.BIN,0,52,黄豆,绿豆,白芸豆,⑧号位,⑤号位,⑥号位,④号位,⑦号位
53,P0053.BIN,0,53,黄豆,绿豆,白芸豆,⑧号位,⑤号位,⑦号位,④号位,⑥号位
54,P0054.BIN,0,54,黄豆,绿豆,白芸豆,⑧号位,⑥号位,④号位,⑤号位,⑦号位
55,P0055.BIN,0,55,黄豆,绿豆,白芸豆,⑧号位,⑥号位,⑤号位,④号位,⑦号位
56,P0056.BIN,0,56,黄豆,绿豆,白芸豆,⑧号位,⑥号位,⑦号位,④号位,⑤号位
57,P0057.BIN,0,57,黄豆,绿豆,白芸豆,⑧号位,⑦号位,④号位,⑤号位,⑥号位
58,P0058.BIN,0,58,黄豆,绿豆,白芸豆,⑧号位,⑦号位,⑤号位,④号位,⑥号位
59,P0059.BIN,0,59,黄豆,绿豆,白芸豆,⑧号位,⑦号位,⑥号位,④号位,⑤号位
60,P0060.BIN,1,0,黄豆,白芸豆,绿豆,④号位,⑤号位,⑥号位,⑦号位,⑧号位
61,P0061.BIN,1,1,黄豆,白芸豆,绿豆,④号位,⑤号位,⑦号位,⑥号位,⑧号位
62,P0062.BIN,1,2,黄豆,白芸豆,绿豆,④号位,⑤号位,⑧号位,⑥号位,⑦号位
63,P0063.BIN,1,3,黄豆,白芸豆,绿豆,④号位,⑥号位,⑤号位,⑦号位,⑧号位
64,P0064.BIN,1,4,黄豆,白芸豆,绿豆,④号位,⑥号位,⑦号位,⑤号位,⑧号位
65,P0065.BIN,1,5,黄豆,白芸豆,绿豆,④号位,⑥号位,⑧号位,⑤号位,⑦号位
